Location,Type,On church site?,Our address,Church address,Address check,Our lat,Our lng,Our GPS (paste),Church lat,Church lng,Church GPS (paste),Off by (m),GPS verdict,Church page
The Nauvoo House,Historic Site,yes,"Water St, Nauvoo, IL 62354",890 Main St.,DIFFERS,40.5401,-91.3914,"40.5401, -91.3914",40.5401069,-91.3939514,"40.54011498368517, -91.39140954407702",216,WRONG - fixed,https://www.churchofjesuschrist.org/learn/locations/nauvoo-house?lang=eng
Trail of Hope,Historic Site,yes,"505 Parley St, Nauvoo, IL 62354",505 Parley St,MATCH,40.543267,-91.395,"40.543267, -91.395",40.5432455,-91.3975521,"40.543272638645234, -91.39505599478635",216,WRONG - fixed,https://www.churchofjesuschrist.org/learn/locations/trail-of-hope?lang=eng
Visitors' Center Picnic Area,Visitor Amenity,yes,"290 Main St, Nauvoo, IL 62354",290 Main St,MATCH,40.5475,-91.3825,"40.5475, -91.3825",40.5535747,-91.3923894,"40.55424711468822, -91.39040192081008",1074,WRONG - fixed,https://www.churchofjesuschrist.org/learn/locations/historic-nauvoo-visitors-center-picnic-area?lang=eng
Wagon Depot,Wagon Depot,yes,"Hotchkiss Street, Nauvoo, IL 62354",,no official addr,40.546,-91.387,"40.546, -91.387",40.5464477,-91.3915684,"40.546716154548946, -91.39241048132338",389,WRONG - fixed,https://www.churchofjesuschrist.org/learn/locations/wagon-depot?lang=eng
Webb Blacksmith Shop,Historic Site,yes,"585 Parley St, Nauvoo, IL 62354",585 Parley St,MATCH,40.543,-91.392,"40.543, -91.392",40.543217,-91.3960843,"40.543241224294256, -91.39360798302586",346,WRONG - fixed,https://www.churchofjesuschrist.org/learn/locations/webb-blacksmith-shop?lang=eng
West Grove,Historic Site,yes,"985 Knight St, Nauvoo, IL 62354",985 Knight St,MATCH,40.550933,-91.387417,"40.550933, -91.387417",40.5506986,-91.3870548,"40.55090519325927, -91.38702077033403",40,WRONG - fixed,https://www.churchofjesuschrist.org/learn/locations/west-grove?lang=eng
Wilford and Phebe Woodruff Home,Historic Site,yes,"2983 N Durphy St, Nauvoo, IL 62354",2983 N Durphy St,MATCH,40.5489,-91.3803,"40.5489, -91.3803",40.5462012,-91.3874568,"40.54625206399015, -91.38680510012415",675,WRONG - fixed,https://www.churchofjesuschrist.org/learn/locations/woodruff-home?lang=eng
William and Caroline Weeks Home,Historic Site,yes,"965 Young St, Nauvoo, IL 62354",965 Young St,MATCH,40.551,-91.383,"40.551, -91.383",,,"40.55225245358137, -91.38755697348397",,WRONG - fixed,https://www.churchofjesuschrist.org/learn/locations/weeks-home?lang=eng
William and Esther Gheen Home,Historic Site,yes,"965 Young St, Nauvoo, IL 62354",55 Partridge St,MATCH,40.551,-91.383,"40.551, -91.383",40.550503,-91.388346,"40.55039839594493, -91.38835600676397",455,WRONG - fixed,https://www.churchofjesuschrist.org/learn/locations/gheen-home?lang=eng
Nauvoo Temple Visitors’ Center,,yes,*** MISSING FROM OUR DATA ***,155 N Wells St,,,,,,,"40.55147704009174, -91.38542237242872",,WRONG - fixed,https://www.churchofjesuschrist.org/learn/locations/nauvoo-temple-visitors-center?lang=eng
